CO2,PIR_TRIGGER,LABEL
5.43E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.27E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.47E-01,0.00E+00,3.00E+00
5.55E-01,0.00E+00,3.00E+00
5.56E-01,0.00E+00,3.00E+00
5.55E-01,0.00E+00,3.00E+00
5.55E-01,0.00E+00,3.00E+00
5.47E-01,0.00E+00,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.50E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.52E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.46E-01,0.00E+00,3.00E+00
5.48E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.44E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.31E-01,0.00E+00,3.00E+00
5.40E-01,3.16E-01,4.00E+00
5.44E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.30E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.26E-01,0.00E+00,3.00E+00
5.22E-01,0.00E+00,3.00E+00
5.23E-01,0.00E+00,3.00E+00
5.28E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.32E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.40E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.36E-01,0.00E+00,3.00E+00
5.35E-01,0.00E+00,3.00E+00
5.38E-01,0.00E+00,3.00E+00
5.34E-01,5.26E-02,3.00E+00
5.34E-01,0.00E+00,3.00E+00
5.43E-01,0.00E+00,3.00E+00
5.48E-01,5.26E-02,3.00E+00
5.42E-01,0.00E+00,3.00E+00
5.39E-01,0.00E+00,3.00E+00
5.40E-01,5.26E-02,3.00E+00
